Serial	Project Name	Project Description	GitHub URL	Relevance Score (0-5)
Query:8	Search Project: Random-Timer	A randomized countdown timer for Android	https://baishakhir@github.com/eldarerathis/Random-Timer	
1	RandomNumberGenerator	Random Number Generator for Android	https://baishakhir@github.com/Tywholland/RandomNumberGenerator	3
2	randomsequencegenerator	Random Sequence Generator for Android	https://baishakhir@github.com/ruvolof/randomsequencegenerator	3
3	scrumdailytimer	This android application is a timer specially designed to optimize your scrum daily meeting.	https://baishakhir@github.com/jonatantierno/scrumdailytimer	4
4	BigDayCountdown	Countdown app for Android	https://baishakhir@github.com/smholsen/BigDayCountdown	5
5	WearTimer	Improved Stopwatch & Timer for Android Wear	https://baishakhir@github.com/brave-warrior/WearTimer	3
6	random-movie-android	Android application for Random Movie	https://baishakhir@github.com/random-movie/random-movie-android	1
7	MeditationAssistant	Android meditation session timer and logger with numerous features and customization options.	https://baishakhir@github.com/tslocum/MeditationAssistant	4
8	countdown-timer	Countdown timer widget for Android	https://baishakhir@github.com/jdimond/countdown-timer	5
9	ClockProject	Simple Android stopwatch and timer	https://baishakhir@github.com/NSchock/ClockProject	3
10	plusTimer	Android Rubik's cube timer with TNoodle scrambles	http://baishakhir@github.com/plusCubed/plusTimer	3
Query:9	Search Project: LetsChat	Android chat application based on Openfire and Smack	https://baishakhir@github.com/dilicode/LetsChat	
1	ZmqVideoChat	Android Video Chat Application with ZeroMQ an Node.js	http://baishakhir@github.com/eggerdo/ZmqVideoChat	4
2	android_instacam	InstaCam, Instagram alike application for realtime photo manipulation.	http://baishakhir@github.com/harism/android_instacam	0
3	Yaaic	Yaaic (Yet Another Android IRC Client) is as the name already says an Internet Relay Chat (IRC) client for Android devices.	http://baishakhir@github.com/pocmo/Yaaic	3
4	GroupChat	Group chat application developed for Android workshop session. Everyone comments on the same thread.	http://baishakhir@github.com/praveendath92/GroupChat	4
5	trollator	Simple example of using OpenCV in a Vaadin application.	https://baishakhir@github.com/samie/trollator	0
6	android-for-dummies-v3	Sourcecode repository for Android Application Development for Dummies, v3	https://baishakhir@github.com/emmby/android-for-dummies-v3	0
7	TouchBase	An Internet-Based Android Messenger Application	https://baishakhir@github.com/ATGarner/TouchBase	5
8	My-Android	Application to show android infos	https://baishakhir@github.com/duvu/My-Android	1
9	json_resume	Android Application to view resume.JSON files	https://baishakhir@github.com/huntergdavis/json_resume	0
10	android-node-music-sync	A syncing application for Android to sync playlists from Node Music Player https://github.com/benkaiser/node-music-player	https://baishakhir@github.com/benkaiser/android-node-music-sync	0
Query:17	Search Project: bit-day-live-wallpaper	An Android live wallpaper that changes based on the time of day.	https://baishakhir@github.com/hitraj47/bit-day-live-wallpaper	
1	hacker-live-wallpaper	An Android live wallpaper of bit sequences streaming down the screen.	http://baishakhir@github.com/gsingh93/hacker-live-wallpaper	3
2	collage-lwp	Collage live wallpaper for android	https://baishakhir@github.com/strengthandwill/collage-lwp	3
3	drip-steps	Android Live Wallpaper to track your daily steps	https://baishakhir@github.com/Drippler/drip-steps	3
4	Hedwig-LWP	Hedwig Live Wallpaper for android	https://baishakhir@github.com/sauravtom/Hedwig-LWP	4
5	android-clock-livewallpaper	Android Clock Live Wallpaper	http://baishakhir@github.com/ssaurel/android-clock-livewallpaper	3
6	android_wallpaper_stripes	Stripes, OpenGL ES 2.0 based, live wallpaper for Android powered devices.	https://baishakhir@github.com/harism/android_wallpaper_stripes	4
7	InfoWallpaper	Live wallpaper app for Android	https://baishakhir@github.com/andreasmcdermott/InfoWallpaper	4
8	IM-timetracking	simplistic time tracker for Android	https://baishakhir@github.com/lavong/IM-timetracking	1
9	MawaruPenguindrumLiveWallpaper	Android live wallpaper based on the TV series "Mawaru Penguindrum"	https://baishakhir@github.com/kimoi/MawaruPenguindrumLiveWallpaper	1
10	slider	a 15-puzzle-like Android live wallpaper	https://baishakhir@github.com/devisnik/slider	1
Query:22	Search Project: genericTicTacToe	AI for a generic NxN Tic Tac Toe board	https://baishakhir@github.com/ASIC-SP/genericTicTacToe	
1	Tic-Tac-Toe-Squared	A twist of regular Tic Tac Toe for Android.	https://baishakhir@github.com/Diusrex/Tic-Tac-Toe-Squared	5
2	NestedTicTacToe	A variant of tic tac toe, for desktop and android	http://baishakhir@github.com/drumber-1/NestedTicTacToe	5
