Serial	Project Name	Project Description	GitHub URL	Relevance Score (0-5)
Query:8	Search Project: Random-Timer	A randomized countdown timer for Android	https://baishakhir@github.com/eldarerathis/Random-Timer	
1	PictureSaver	A workaround for download full size picture from Google+ android client.	https://baishakhir@github.com/ifreedom/PictureSaver	0
2	TicTacToe	Repository for The Classic Game Tic Tac Toe in Android Platform	https://baishakhir@github.com/sankarshan-kundu/TicTacToe	0
3	FlippyBard	A stupid little game about flipping bards.	https://baishakhir@github.com/atomictissue/FlippyBard	0
4	TwitterLogin	Twitter Login and Post Example for Android	https://baishakhir@github.com/jinseongho/TwitterLogin	0
5	Biology		https://baishakhir@github.com/Conorbro/Biology	0
6	CrackIt	Android game	https://baishakhir@github.com/skalim/CrackIt	0
7	mailcircle		https://baishakhir@github.com/johnsto/mailcircle	0
8	FuckExam	fuck exam fuck fuck fuck and more fuck	https://baishakhir@github.com/erayarslan/FuckExam	0
9	quiztemplate	A multiple choice quiz template for android	https://baishakhir@github.com/summer-ice/quiztemplate	0
10	MathCandy	An interesting game that exercises the math skills of a child along with a role-playing game experience	https://baishakhir@github.com/sivragav/MathCandy	0
Query:9	Search Project: LetsChat	Android chat application based on Openfire and Smack	https://baishakhir@github.com/dilicode/LetsChat	0
1	yaxim	YAXIM - Yet Another XMPP Instant Messenger, a jabber client for android	http://baishakhir@github.com/pfleidi/yaxim	0
2	aa-ibeebo		https://baishakhir@github.com/lbadvisor-com/aa-ibeebo	0
3	iBeebo	??????????	https://baishakhir@github.com/andforce/iBeebo	0
4	seadroid	Android client for Seafile	http://baishakhir@github.com/haiwen/seadroid	0
5	hoychatapp	Hoy app let you meet random people all over the world. It is already published on app market. But if you want to add some feature, you are free to steal anything.	https://baishakhir@github.com/iammert/hoychatapp	0
6	minicat	???App	http://baishakhir@github.com/mcxiaoke/minicat	0
7	MutualContacts	Displays database join of Android phone users and registered users on Android using AWS.	https://baishakhir@github.com/IoniteTechnologies/MutualContacts	0
8	android	smsTracker	http://baishakhir@github.com/jmorille/android	0
9	PixivConanViewer	???P?Tag??app	https://baishakhir@github.com/radishjr/PixivConanViewer	0
10	akvo-rsr-up		https://baishakhir@github.com/akvo/akvo-rsr-up	0
Query:17	Search Project: bit-day-live-wallpaper	An Android live wallpaper that changes based on the time of day.	https://baishakhir@github.com/hitraj47/bit-day-live-wallpaper	
1	HT-Live-Matrix	Android Live Wallpaper	https://baishakhir@github.com/charles-hollenbeck/HT-Live-Matrix	5
2	Hedwig-LWP	Hedwig Live Wallpaper for android	https://baishakhir@github.com/sauravtom/Hedwig-LWP	5
3	hacker-live-wallpaper	An Android live wallpaper of bit sequences streaming down the screen.	http://baishakhir@github.com/gsingh93/hacker-live-wallpaper	5
4	SimpleGlowLWP	Simply Glow Live Wallpaper app	https://baishakhir@github.com/sahaab/SimpleGlowLWP	5
5	plasma	Playing around with Android NDK	https://baishakhir@github.com/mdellavo/plasma	2
6	android_wallpaper_yinyang	Yin Yang, OpenGL ES 2.0, Live Wallpaper.	http://baishakhir@github.com/harism/android_wallpaper_yinyang	5
7	rdn-wallpaper	Android live wallpaper: reaction-diffusion networks	https://baishakhir@github.com/dstahlke/rdn-wallpaper	4
8	android_wallpaper_stripes	Stripes, OpenGL ES 2.0 based, live wallpaper for Android powered devices.	https://baishakhir@github.com/harism/android_wallpaper_stripes	4
9	TrainRhythm		https://baishakhir@github.com/yoggy/TrainRhythm	1
10	NyanDroid	Ice Cream Nyanwich, bringing ICS to all!	http://baishakhir@github.com/powerje/NyanDroid	3
Query:22	Search Project: genericTicTacToe	AI for a generic NxN Tic Tac Toe board	https://baishakhir@github.com/ASIC-SP/genericTicTacToe	
1	Board	Tappy Tiles: Android game on libGDX	https://baishakhir@github.com/daose/Board	4
2	SUPERULTIMATEOTHELLO	OTHELLO BUILT WITH LIBGDX	https://baishakhir@github.com/alv7/SUPERULTIMATEOTHELLO	3
3	sensory	Demonstrates how particle effects can be implemented in LibGdx	https://baishakhir@github.com/TheInvader360/sensory	1
4	three-tiles	Simple game called Three Tiles made with libGDX	https://baishakhir@github.com/montecode/three-tiles	2
5	piggyfly	Source code to the Piggy Fly android game: https://play.google.com/store/apps/details?id=com.adamp.android.birdgame	https://baishakhir@github.com/fatcookies/piggyfly	4
6	police-car-racing	A libgdx game with cars, animations, explosions and many more	https://baishakhir@github.com/kabirules/police-car-racing	3
7	UberTube	Fly through the tube, don't fall out.	https://baishakhir@github.com/chickenbellyfinn/UberTube	4
8	BurningTouch	An Android "hidden story" game.	https://baishakhir@github.com/xstreck1/BurningTouch	3
9	minimalistic-potato	Made with love for Ludum Dare 26.	http://baishakhir@github.com/zachlatta/minimalistic-potato	4
10	Dodgy-Dot	A cross-platform game, published as an Android game in Google Play.	https://baishakhir@github.com/zozotintin/Dodgy-Dot	4
Query:25	Search Project: rkpi	Radio KPI Android player	https://baishakhir@github.com/dector/rkpi	
1	dotjpg	dotjpg.co android client app	https://baishakhir@github.com/alashow/dotjpg	2
2	Coloring-book	Coloring book for Android	https://baishakhir@github.com/AlexZaiats/Coloring-book	0
3	vector-android	A glossy Matrix collaboration client for Android	https://baishakhir@github.com/vector-im/vector-android	0
4	SearchBubble	A bubble to do your search.	https://baishakhir@github.com/tunjos/SearchBubble	0
5	ByakuGallery	An open source Android library that allows the visualization of large images with gesture capabilities	http://baishakhir@github.com/diegocarloslima/ByakuGallery	0
6	picframe	PicFrame Android app	https://baishakhir@github.com/PicFrame/picframe	1
7	Kore	Kore is a simple and easy-to-use Kodi remote.	https://baishakhir@github.com/xbmc/Kore	1
8	quotograph		https://baishakhir@github.com/stanidesis/quotograph	0
9	Selfie-Camera	Selfie-Camera	https://baishakhir@github.com/pov1912/Selfie-Camera	0
10	OurSaviorGames	Find and play HTML5 Games on your phone.	https://baishakhir@github.com/amirhd91/OurSaviorGames	0
Query:28	Search Project: aikuma	Android software for recording and translation	https://baishakhir@github.com/aikuma/aikuma	
1	AmazeFileManager	Amaze File Manager source code	http://baishakhir@github.com/arpitkh96/AmazeFileManager	0
2	AmazeFileManager		https://baishakhir@github.com/alvaromusic/AmazeFileManager	0
3	distributed.download	Distributed Download	https://baishakhir@github.com/arichiv/distributed.download	0
4	k-9-master	The only thing I did was comment out the code that autocompletes to, cc, and bcc, and added an alertdialog to check with user that they intend to send email to addresses they inputted.	https://baishakhir@github.com/JorgeAntonio512/k-9-master	0
5	k-9	K-9 Mail � Advanced Email for Android	http://baishakhir@github.com/k9mail/k-9	0
6	AmazeFileManager-master	Material design?????????????????????	https://baishakhir@github.com/DeFuture/AmazeFileManager-master	0
7	NewInternationalist	New Internationalist magazine app for Android	https://baishakhir@github.com/sighmon/NewInternationalist	0
8	WildlifeImages	An Android application for visitors to the Wildlife Images Rehabilitation and Education Center.	http://baishakhir@github.com/gmangw/WildlifeImages	0
9	seadroid		https://baishakhir@github.com/cloudcopy/seadroid	0
10	smsoip	Automatically exported from code.google.com/p/smsoip	https://baishakhir@github.com/dchristl/smsoip	0
Query:30	Search Project: chessonline	Android Chess Online	https://baishakhir@github.com/spdd/chessonline	
1	JotaTextEditor	Text Editor for Android	https://baishakhir@github.com/jiro-aqua/JotaTextEditor	0
2	andstatus	Low traffic social networking client with tree-like threaded conversations. For Android	https://baishakhir@github.com/andstatus/andstatus	0
3	growlforandroid	Growl notification client/server designed for Android devices	https://baishakhir@github.com/x-cubed/growlforandroid	0
4	vector-android	A glossy Matrix collaboration client for Android	https://baishakhir@github.com/vector-im/vector-android	0
5	omni		https://baishakhir@github.com/bamptonm/omni	0
6	evercam-play-android2		https://baishakhir@github.com/GNUDimarik/evercam-play-android2	1
7	fele	Telegram extending project	https://baishakhir@github.com/light-rain/fele	0
8	androidclient	Kontalk official Android client	http://baishakhir@github.com/kontalk/androidclient	0
9	TL-unofficial		https://baishakhir@github.com/raminbbt/TL-unofficial	0
10	SmartReceiptsLibrary		https://baishakhir@github.com/wbaumann/SmartReceiptsLibrary	0
Query:31	Search Project: redPandaj	redPanda - secure peer-to-peer chat	https://baishakhir@github.com/redPanda-project/redPandaj	
1	jmonkeyengine	A complete 3D game development suite written purely in Java.	http://baishakhir@github.com/jMonkeyEngine/jmonkeyengine	0
2	pandam	Event-driven 2D game engine for Java/Android	https://baishakhir@github.com/pandcorps/pandam	0
3	openhab2		https://baishakhir@github.com/Gerguis/openhab2	0
4	nextop-client	Platform integrations for Nextop, the Mobile CDN	https://baishakhir@github.com/nextopio/nextop-client	1
5	fantaskulous	The Zero BS Task List for Android	https://baishakhir@github.com/Cheezmeister/fantaskulous	0
6	innovation-hub		http://baishakhir@github.com/affinehat/innovation-hub	0
7	openkeystore	Smart Card/TEE Key Store and Credential Provisioning System	https://baishakhir@github.com/cyberphone/openkeystore	0
8	JsonPullParser	compiler time JSON-POJO Mapper for Java	https://baishakhir@github.com/vvakame/JsonPullParser	0
9	EC2Box	A web-based SSH console to execute commands and manage multiple EC2 instances simultaneously running on Amazon Web Services (AWS).	https://baishakhir@github.com/skavanagh/EC2Box	1
10	KeyBox	KeyBox is a web-based SSH console that centrally manages administrative access to systems. Web-based administration is combined with management and distribution of user's public SSH keys.	https://baishakhir@github.com/skavanagh/KeyBox	2
Query:42	Search Project: TaskNearby	Location Based Reminders App	https://baishakhir@github.com/YashVerma1996/TaskNearby	
1	FindMe	Find your frinds in offline mode	https://baishakhir@github.com/pesarkhobeee/FindMe	4
2	owasp-seraphimdroid	OWASP Seraphimdroid is an open source project with aim to create, as a community, an open platform for education and protection of Android users against privacy and security threats.	http://baishakhir@github.com/nikolamilosevic86/owasp-seraphimdroid	3
3	BackPackTrackII	BackPackTrack II	https://baishakhir@github.com/M66B/BackPackTrackII	5
4	emergencycall	eHelp- Android mobile app	https://baishakhir@github.com/deepanshumadan/emergencycall	3
5	GPS-Tagger	Quickly store your current location.	https://baishakhir@github.com/recentfuture/GPS-Tagger	4
6	FineGeotag	Fine Geotag	https://baishakhir@github.com/M66B/FineGeotag	2
7	EffervescenceMMXIV	Android App for Effervescence MMXIV of IIIT Allahabad	https://baishakhir@github.com/GDGAllahabad/EffervescenceMMXIV	2
8	EffervescenceMM14		https://baishakhir@github.com/RonishKalia/EffervescenceMM14	2
9	IrishBirds	Birdwatching Android App for Irelands Birds	https://baishakhir@github.com/mclhrn/IrishBirds	4
10	beeline	Simple mobile application (Android) for displaying the linear distance between locations	https://baishakhir@github.com/datag/beeline	3
Query:49	Search Project: prettygoodmusicplayer	A music player app for Android hits the basics hard	http://baishakhir@github.com/smithdtyler/prettygoodmusicplayer	
1	BalanduinoAndroidApp	Remote control app for the Balanduino balancing robot	http://baishakhir@github.com/TKJElectronics/BalanduinoAndroidApp	1
2	kure-music-player	Open-source music player for Android	http://baishakhir@github.com/alexdantas/kure-music-player	5
3	KureMusicPlayer		https://baishakhir@github.com/suxiaocheng/KureMusicPlayer	5
